AMG,ATF,CAR,CF1,CF2,CF3,CF4,Falta,GCC,GLI,LIN,LIP,MAC,MON,NTI,OTR,OXA,PAP,PEN,POL,QUI,SUL,TTC,pc_acinet,pc_enterob,pc_enteroc,pc_pseud,pc_staph,pc_stenot,pc_no_germ,isVM,numberOfPatients,numberOfPatientsMR,neighbor_AMG,neighbor_ATF,neighbor_CAR,neighbor_CF1,neighbor_CF2,neighbor_CF3,neighbor_CF4,neighbor_Falta,neighbor_GCC,neighbor_GLI,neighbor_LIN,neighbor_LIP,neighbor_MAC,neighbor_MON,neighbor_NTI,neighbor_OTR,neighbor_OXA,neighbor_PAP,neighbor_PEN,neighbor_POL,neighbor_QUI,neighbor_SUL,neighbor_TTC
0.0,0.0,0.0,0.0,0.9858474620210506,0.0,0.0,0.0,0.9801531255940963,0.0,0.0,0.9754245519434507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955279030780665,0.0,0.0,0.9947667686351775,0.9760432761272707,0.9921411658975821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802042826774512,0.9934290800366397,0.0,0.0,0.9771155009419126,0.9872293945835712,0.9898308014033632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983263337999689,0.0,0.0,0.0,0.9927121895577331,0.0,0.0,0.992865660807798,0.9825561258879039,0.0,0.0,0.9988586439916353,0.0,0.0,0.0,0.9870738493976946,0.0,0.0,0.996468778624635
0.9858474620210506,0.0,0.0,0.0,0.0,0.0,0.9805741345638688,0.0,0.9989229360017976,0.0,0.9925047959765647,0.9987902041098495,0.9949610272895388,0.9983636646445793,0.987923471768549,0.0,0.0,0.0,0.0,0.0,0.0,0.9957346053472979,0.9985724408496224,0.0,0.0,0.9947868166813572,0.9967169596101001,0.9982323153765058,0.0,0.0,0.0,0.9825270907865402,0.9900928086275731,0.9905373222032112,0.0,0.0,0.9976128998807487,0.999715870793799,0.9878833756761896,0.9868146074212337,0.979847565717841,0.9990017455626417,0.9816947512141166,0.9922344930091082,0.9990611983892433,0.9982813985240492,0.9979274468121879,0.9930412540398542,0.9998050500337016,0.9877658526468607,0.0,0.9865581306925217,0.9985413318124472,0.0,0.9946720588997772,0.9994338155234096
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9805741345638688,0.0,0.0,0.0,0.9762907658007985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9801531255940963,0.0,0.0,0.9955279030780665,0.9989229360017976,0.0,0.9762907658007985,0.0,0.0,0.0,0.9877513350961789,0.9973909887488983,0.9911657247541523,0.9966713330222431,0.9836636076113444,0.9990432242788754,0.0,0.0,0.0,0.9987860562382261,0.0,0.9921155873559048,0.9967985344186931,0.9987217642280638,0.9987369730906829,0.9915570073106237,0.9943008243894852,0.9962033148407391,0.9989035792675551,0.0,0.0,0.9941784621765958,0.9993916454952386,0.9951476815125906,0.9889189609581585,0.9800425156841397,0.9982184891377611,0.9991586733723924,0.9945137484661517,0.9944356302172449,0.9936447693610551,0.9985565406750662,0.9948870569122552,0.9961210487202088,0.9988150913395899,0.9983705777639515,0.9987224555400012,0.9954041582413026,0.9992630614749142,0.9950958331172984,0.9861495653376194,0.9935707989837715,0.9984915573529667,0.9872349250790688,0.9974780940529892,0.9990570505176198
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
