neighbor_PAP,neighbor_CAR,AMG,numberOfPatients,neighbor_QUI,neighbor_GLI,neighbor_CF4,ATF,neighbor_CF3,LIN,CF2,TTC,PEN,isVM,GCC
2.4376413530427756,2.508722895884212,7.428404855606359,2.5204208400038124,2.4684354738760286,2.6106317348318813,7.368145088993792,2.3130952676102727,4.32866755156551,4.708646314815141,8.034656084656085,7.6917902603189,2.555873838637422,4.406994113097669,8.097673362742169
2.508722895884212,0.8801782359250986,6.665769292492053,2.3388119214082987,2.8879573661003874,1.9618675868418318,7.242579356891902,2.49147861106377,3.8248021011471067,0.0,6.225641559755503,7.345224870695494,2.667090139078605,3.8867994596119164,0.0
7.428404855606359,6.665769292492053,0.0,8.14522056326198,9.37836424271768,9.76272558764335,0.0,10.69778116149084,0.0,0.0,0.0,0.0,9.630725329267301,0.6462852075797776,0.0
2.5204208400038124,2.3388119214082987,8.14522056326198,0.0,3.0249249716643054,2.48988968066599,8.149816580536504,2.832016634555539,4.387685056808418,0.0,5.178571428571427,8.386087906027969,2.4142576615811047,3.4496955640031537,11.029159080240355
2.4684354738760286,2.8879573661003874,9.37836424271768,3.0249249716643054,1.783268673261538,2.580992200573542,9.444921453248188,2.3968165037311846,4.692389350690098,0.0,10.76246870298013,10.052867643283872,2.5665895814791413,2.2801330689603536,6.557142857142857
2.6106317348318813,1.9618675868418318,9.76272558764335,2.48988968066599,2.580992200573542,0.0,9.382995648271795,2.2667557318611484,4.298997593491273,4.7187775122626086,9.104166666666668,9.691315742984397,2.0629889674802593,1.8466383355857952,7.357374167878424
7.368145088993792,7.242579356891902,0.0,8.149816580536504,9.444921453248188,9.382995648271795,0.0,10.466406568270834,1.5543122344752192e-15,0.0,0.0,0.0,9.57440504265276,2.29670831690001,0.0
2.3130952676102727,2.49147861106377,10.69778116149084,2.832016634555539,2.3968165037311846,2.2667557318611484,10.466406568270834,0.14801471601002003,4.968077757704984,1.8054291884937046,9.924404761904764,10.295649562195244,2.031152755191556,1.8768498613434166,2.35
4.32866755156551,3.8248021011471067,0.0,4.387685056808418,4.692389350690098,4.298997593491273,1.5543122344752192e-15,4.968077757704984,0.0,0.0,0.0,0.0,4.535237140356047,8.231670757089459,0.0
4.708646314815141,0.0,0.0,0.0,0.0,4.7187775122626086,0.0,1.8054291884937046,0.0,2.0,0.0,0.0,5.564796016961965,0.07080520083471586,0.0
8.034656084656085,6.225641559755503,0.0,5.178571428571427,10.76246870298013,9.104166666666668,0.0,9.924404761904764,0.0,0.0,3.0,0.0,9.58114263397216,0.13036374740705736,0.0
7.6917902603189,7.345224870695494,0.0,8.386087906027969,10.052867643283872,9.691315742984397,0.0,10.295649562195244,0.0,0.0,0.0,0.0,9.557660242792364,1.120195099946445,0.0
2.555873838637422,2.667090139078605,9.630725329267301,2.4142576615811047,2.5665895814791413,2.0629889674802593,9.57440504265276,2.031152755191556,4.535237140356047,5.564796016961965,9.58114263397216,9.557660242792364,0.9881366625979453,2.271670463291698,5.115342640021428
0.6994891162738456,0.6393149278336239,0.46618217512842464,0.6270802635799574,0.5184952618833165,0.5264553342733178,0.4452003857380842,0.5271481292060177,0.9938939724364214,0.400069744407918,0.40600798668820304,0.5413999106787017,0.5311861339566116,0.0,0.401257392863975
8.097673362742169,0.0,0.0,11.029159080240355,6.557142857142857,7.357374167878424,0.0,2.35,0.0,0.0,0.0,0.0,5.115342640021428,0.08976035825903883,0.0
